"ID_COLONNE","ID_POINT_TRI","TYPE_DECHETS","VOLUME","OBS","PREHENSION","VOIE","MOT_DIRECTEUR","CODE_COM","CODE_POSTAL","COMMUNE","QUARTIER","POLE_NM","location"
"PL0125","NA_TRI010","plastique","4.0",""," ","Boulevard Lelasseur","Lelasseur","440109","44000","Nantes","Hauts Pavés - Saint Félix","Nantes-Ouest","[ 47.2309600546909 , -1.56975937472466]"
"VE0474","NA_TRI024","verre","4.38",""," ","Rue de la Pelleterie","Pelleterie","440109","44000","Nantes","Hauts Pavés - Saint Félix","Nantes-Ouest","[ 47.2260558236011 , -1.56850003889229]"
"PC0123","NA_TRI024","papiercarton","4.0",""," ","Rue de la Pelleterie","Pelleterie","440109","44000","Nantes","Hauts Pavés - Saint Félix","Nantes-Ouest","[ 47.2260440344324 , -1.56848251579386]"
"PL0126","NA_TRI024","plastique","4.8",""," ","Rue de la Pelleterie","Pelleterie","440109","44000","Nantes","Hauts Pavés - Saint Félix","Nantes-Ouest","[ 47.2260530312532 , -1.56843015468684]"
"VE0475","NA_TRI201","verre","4.0",""," ","Chemin de l'Angle Chaillou","","440109","44300","Nantes","Nantes Nord","Erdre et Cens","[ 47.2694924436199 , -1.57107842681343]"
"PL0127","NA_TRI077","plastique","4.0","Déplacé en juillet 2015"," ","Rue de l'Hippodrome","Hippodrome","440109","44300","Nantes","Nantes Nord","Erdre et Cens","[ 47.247102760363 , -1.56851523944151]"
"VE0476","NA_TRI077","verre","4.0","Déplacé en juillet 2015"," ","Rue de l'Hippodrome","Hippodrome","440109","44300","Nantes","Nantes Nord","Erdre et Cens","[ 47.2471068720655 , -1.56848523192424]"
"PC0124","NA_TRI077","papiercarton","3.0","Déplacé en juillet 2015"," ","Rue de l'Hippodrome","Hippodrome","440109","44300","Nantes","Nantes Nord","Erdre et Cens","[ 47.24711113731 , -1.56845068945527]"
"VE0477","NA_TRI001","verre","0.0",""," ","Parvis des Nefs","","440109","44200","Nantes","Ile de Nantes","Nantes-Loire","[ 47.2062999800647 , -1.56506300169062]"
"VE0478","NA_TRI001","verre","0.0",""," ","Parvis des Nefs","","440109","44200","Nantes","Ile de Nantes","Nantes-Loire","[ 47.2062928768405 , -1.56505945547272]"
"VE0479","NA_TRI001","verre","0.0",""," ","Parvis des Nefs","","440109","44200","Nantes","Ile de Nantes","Nantes-Loire","[ 47.2062846931223 , -1.56505734472936]"
"VE0480","NA_TRI001","verre","0.0",""," ","Parvis des Nefs","","440109","44200","Nantes","Ile de Nantes","Nantes-Loire","[ 47.2062683256858 , -1.5650531232446]"
"VE0481","NA_TRI001","verre","3.0",""," ","Parvis des Nefs","","440109","44200","Nantes","Ile de Nantes","Nantes-Loire","[ 47.2062796997486 , -1.56505243806956]"
"VE0482","NA_TRI093","verre","5.48",""," ","Rue René Guy Cadou","Cadou","440109","44300","Nantes","Nantes Nord","Erdre et Cens","[ 47.2561426644101 , -1.56852818569993]"
"PC0125","NA_TRI093","papiercarton","5.48",""," ","Rue René Guy Cadou","Cadou","440109","44300","Nantes","Nantes Nord","Erdre et Cens","[ 47.2561567623953 , -1.56850799620876]"
"PL0128","NA_TRI093","plastique","5.48",""," ","Rue René Guy Cadou","Cadou","440109","44300","Nantes","Nantes Nord","Erdre et Cens","[ 47.2561718897155 , -1.56848788187246]"
"VE0483","NA_TRI202","verre","5.48",""," ","Boulevard Lelasseur","Lelasseur","440109","44000","Nantes","Breil - Barberie","Nantes-Ouest","[ 47.2330915178174 , -1.56638962169968]"
"PL0129","NA_TRI005","plastique","4.8",""," ","Place Emile Fritsch","Fritsch","440109","44000","Nantes","Hauts Pavés - Saint Félix","Nantes-Ouest","[ 47.2286222919362 , -1.56556976533691]"
"VE0484","NA_TRI005","verre","4.0",""," ","Place Emile Fritsch","Fritsch","440109","44000","Nantes","Hauts Pavés - Saint Félix","Nantes-Ouest","[ 47.22861117367 , -1.56556289503224]"
"VE0485","NA_TRI035","verre","4.38","Ecopoint de Viarme"," ","Rue d'Auvours","Auvours","440109","44000","Nantes","Hauts Pavés - Saint Félix","Nantes-Ouest","[ 47.2222335015297 , -1.56500088533123]"
"VE0486","NA_TRI035","verre","4.38","Ecopoint de Viarme"," ","Rue d'Auvours","Auvours","440109","44000","Nantes","Hauts Pavés - Saint Félix","Nantes-Ouest","[ 47.2222161048206 , -1.56499658755898]"
"VE0808","SS_TRI058","verre","0.0","Centre technique municipal"," ","Rue de l'Ouche Colin","","440190","44230","St-Sébastien-sur-Loire","","Loire, Sèvre et Vignoble","[ 47.2005817394065 , -1.52023162717093]"
"PC0126","NA_TRI052","papiercarton","3.0",""," ","Boulevard du Tertre","Tertre","440109","44100","Nantes","Dervallières - Zola","Nantes-Ouest","[ 47.2153327043682 , -1.60559539825333]"
"VE0487","NA_TRI052","verre","4.0",""," ","Boulevard du Tertre","Tertre","440109","44100","Nantes","Dervallières - Zola","Nantes-Ouest","[ 47.2153487642831 , -1.60557840697313]"
"PL0130","NA_TRI043","plastique","4.8",""," ","Rue du Perray","Perray","440109","44300","Nantes","Doulon - Bottière","Erdre et Loire","[ 47.2509158405587 , -1.51674942558318]"
"VE0488","NA_TRI203","verre","5.48",""," ","Boulevard de la Beaujoire","Beaujoire","440109","44300","Nantes","Nantes Erdre","Erdre et Loire","[ 47.2585626487761 , -1.51425397828698]"
"VE0714","SH_TRI023","verre","4.0",""," ","Rue de la Garotterie","Garotterie","440162","44800","St-Herblain","Centre","Loire-Chézine","[ 47.2228535044374 , -1.60694771424614]"
"VE0715","SH_TRI109","verre","4.0",""," ","Avenue Colonac","Colonac","440162","44800","St-Herblain","Centre","Loire-Chézine","[ 47.2243962932992 , -1.60489376971146]"
"VE0489","NA_TRI204","verre","0.0",""," ","Boulevard du Tertre","Tertre","440109","44100","Nantes","Dervallières - Zola","Nantes-Ouest","[ 47.2203838748437 , -1.60339408874326]"
"VE0716","SH_TRI014","verre","4.0",""," ","Allée Louise Michel","Michel","440162","44800","St-Herblain","Centre","Loire-Chézine","[ 47.221240227305 , -1.61446286862497]"
"VE0717","SH_TRI110","verre","4.0",""," ","Rue Jean Jaurès","Jaurès","440162","44800","St-Herblain","Centre","Loire-Chézine","[ 47.2204782508085 , -1.61835688235275]"
"VE0718","SH_TRI111","verre","4.0",""," ","Rue Jean Jaurès","Jaurès","440162","44800","St-Herblain","Centre","Loire-Chézine","[ 47.2196113030579 , -1.61471975217338]"
"VE0719","SH_TRI112","verre","4.0","stade du vigneau"," ","Porte d'Atlantis","Atlantis","440162","44800","St-Herblain","Est","Loire-Chézine","[ 47.2176559562584 , -1.62178335101341]"
"VE0720","SH_TRI007","verre","0.0",""," ","Boulevard du Tertre","Tertre","440162","44800","St-Herblain","Centre","Loire-Chézine","[ 47.2169146512612 , -1.60511215899396]"
"VE0905","VE_TRI050","verre","4.0","stade du Loreau"," ","Route du Drouillet","Drouillet","440215","44120","Vertou","Le Chêne et les Landes","Loire, Sèvre et Vignoble","[ 47.1597256237164 , -1.48684372034153]"
"VE0722","SH_TRI038","verre","4.0",""," ","Rue de la Mayenne","Mayenne","440162","44800","St-Herblain","Est","Loire-Chézine","[ 47.2131438676406 , -1.61253245563969]"
"DS0045","SH_TRI084","verre","4.0",""," ","Rue de la Chicotière","Chicotière","440162","44800","St-Herblain","Est","Loire-Chézine","[ 47.2140641885017 , -1.60849912855142]"
"VE0724","SH_TRI008","verre","4.0",""," ","Rue de la Chicotière","Chicotière","440162","44800","St-Herblain","Est","Loire-Chézine","[ 47.2148924847937 , -1.61040788724149]"
"VE0725","SH_TRI029","verre","4.0",""," ","Rue de la Chicotière","Chicotière","440162","44800","St-Herblain","Est","Loire-Chézine","[ 47.2162138105696 , -1.61253331705033]"
"VE0726","SH_TRI011","verre","4.0",""," ","Rue d'Avranches","Avranches","440162","44800","St-Herblain","Est","Loire-Chézine","[ 47.2162819684618 , -1.61725769979662]"
"VE0727","SH_TRI026","verre","4.0",""," ","Rue d'Avranches","Avranches","440162","44800","St-Herblain","Est","Loire-Chézine","[ 47.2146638786366 , -1.6178000043311]"
"VE0507","OR_TRI003","verre","0.0",""," ","Rue du Raffuneau","Raffuneau","440114","44700","Orvault","Bourg/Secteur rural","Erdre et Cens","[ 47.2734777900121 , -1.62430479638063]"
"VE0671","SH_TRI074","verre","4.0",""," ","Rue Océane","Océane","440162","44800","St-Herblain","Centre","Loire-Chézine","[ 47.2262047252852 , -1.63153058469694]"
"VE0666","SH_TRI070","verre","4.0",""," ","Rue de l'Hôtel de Ville","Hôtel","440162","44800","St-Herblain","Bourg","Loire-Chézine","[ 47.2107112337768 , -1.64845960966744]"
"VE0172","IN_TRI009","verre","4.0",""," ","Quai de la République","République","440074","44620","Indre","","Loire-Chézine","[ 47.1946092962752 , -1.68024030710158]"
"VE0638","SH_TRI045","verre","4.0",""," ","Rue des Saulzaies","Saulzaies","440162","44800","St-Herblain","Centre","Loire-Chézine","[ 47.2337082143344 , -1.63116140251437]"
"VE0015","BG_TRI019","verre","5.0",""," ","Rue Marcel Carné","Carné","440009","44115","Basse-Goulaine","","Loire, Sèvre et Vignoble","[ 47.2055183110625 , -1.47291619732909]"
"VE0161","CO_TRI034","verre","0.0",""," ","","","440047","44220","Couëron","","Loire-Chézine","[ 47.219593035787 , -1.68468612046388]"
"VE0197","CH_TRI024","verre","0.0",""," ","Allée de la Coutancière","Coutancière","440035","44240","La Chapelle-sur-Erdre","","Erdre et Cens","[ 47.3088900887878 , -1.56125865586292]"
"VE0212","CH_TRI039","verre","0.0",""," ","Rue Maurice Ravel","Ravel","440035","44240","La Chapelle-sur-Erdre","","Erdre et Cens","[ 47.2876444064563 , -1.55705834657359]"
"VE0191","CH_TRI018","verre","0.0",""," ","Avenue du Premier Mai","Premier","440035","44240","La Chapelle-sur-Erdre","","Erdre et Cens","[ 47.2937320898586 , -1.55204788561939]"
"VE0118","CA_TRI032","verre","0.0",""," ","Rue Antarès","Antarès","440026","44470","Carquefou","","Erdre et Loire","[ 47.2858257566015 , -1.44860378600561]"
"VE0097","CA_TRI011","verre","0.0",""," ","Avenue du Bernier","Bernier","440026","44470","Carquefou","","Erdre et Loire","[ 47.2828952316048 , -1.5017216091702]"
"VE0084","CA_TRI001","verre","0.0",""," ","Avenue des Argonautes","Argonautes","440026","44470","Carquefou","","Erdre et Loire","[ 47.2967239147466 , -1.48592188039404]"
"VE0089","CA_TRI003","verre","0.0",""," ","Rue François René De Chateaubriand","Chateaubriand","440026","44470","Carquefou","","Erdre et Loire","[ 47.3015384954553 , -1.48772551254115]"
"VE0203","CH_TRI030","verre","0.0",""," ","Boulevard du Gesvres","Gesvres","440035","44240","La Chapelle-sur-Erdre","","Erdre et Cens","[ 47.2682669841159 , -1.55298814608736]"
"VE0116","CA_TRI030","verre","0.0",""," ","Rue de Bel Air","Bel","440026","44470","Carquefou","","Erdre et Loire","[ 47.2640672642239 , -1.49268646927937]"
"VE0523","OR_TRI023","verre","0.0",""," ","Avenue de la Patouillerie","Patouillerie","440114","44700","Orvault","Bois-St-Louis/Plaisance/Ferrière/Val d'Or","Erdre et Cens","[ 47.2460065073219 , -1.58002922404431]"
"VE0830","SL_TRI015","verre","0.0",""," ","Rue Denis Papin","Papin","440172","44980","Ste-Luce-sur-Loire","","Erdre et Loire","[ 47.2636836749971 , -1.48664289749499]"
"VE0829","SL_TRI014","verre","0.0",""," ","Rue du Moulin Cassé","Moulin","440172","44980","Ste-Luce-sur-Loire","","Erdre et Loire","[ 47.2606491855537 , -1.46988233434895]"
"VE0838","SL_TRI022","verre","0.0","Salle Ligéria (sur appel)"," ","Rue de la Loire","Loire","440172","44980","Ste-Luce-sur-Loire","","Erdre et Loire","[ 47.2433850963704 , -1.48381927061831]"
"VE0520","OR_TRI004","verre","0.0",""," ","Rue de Kindia","Kindia","440114","44700","Orvault","Petit-Chantilly/Bignon/Morlière","Erdre et Cens","[ 47.2523864380974 , -1.59517155245601]"
"VE0509","OR_TRI011","verre","0.0",""," ","Rue Aristide et Marguerite Boucicaut","Boucicaut","440114","44700","Orvault","Bois-Raguenet/Petit-Moulin/Conraie","Erdre et Cens","[ 47.2625149271904 , -1.59158553321394]"
"VE0539","OR_TRI003","verre","0.0",""," ","Rue du Raffuneau","Raffuneau","440114","44700","Orvault","Bourg/Secteur rural","Erdre et Cens","[ 47.2734980124805 , -1.62431690789563]"
"VE0843","TH_TRI003","verre","4.0",""," ","Rue de la Baudinière","Baudinière","440204","44470","Thouaré-sur-Loire","","Erdre et Loire","[ 47.2850313379505 , -1.44463537593633]"
"VE0266","MA_TRI001","verre","0.0",""," ","Rue de la Plage","Plage","440094","44470","Mauves-sur-Loire","","Erdre et Loire","[ 47.2942606808655 , -1.38836853204836]"
"VE0606","SA_TRI006","verre","0.0",""," ","Rue du Verger","Verger","440194","44880","Sautron","","Erdre et Cens","[ 47.2580844879933 , -1.66895739576741]"
"VE0616","SA_TRI016","verre","0.0",""," ","Route de Bongarant","Bongarant","440194","44880","Sautron","","Erdre et Cens","[ 47.2740916933505 , -1.6984045176973]"
"VE0778","SS_TRI029","verre","0.0","église"," ","Rue Elisa Mercoeur","Mercoeur","440190","44230","St-Sébastien-sur-Loire","","Loire, Sèvre et Vignoble","[ 47.1919492092091 , -1.52426456890363]"
"VE0902","VE_TRI003","verre","4.0",""," ","Place de la Poste","Poste","440215","44120","Vertou","Beautour","Loire, Sèvre et Vignoble","[ 47.1841641816664 , -1.50501981623408]"
"VE0576","RE_TRI037","verre","2.5",""," ","Rue Blanchet","Blanchet","440143","44400","Rezé","Ragon","Loire, Sèvre et Vignoble","[ 47.1718145282252 , -1.54218979249036]"
"VE0595","RE_TRI052","verre","2.5",""," ","Rue Jean Baptiste Vigier","Vigier","440143","44400","Rezé","Pont Rousseau","Loire, Sèvre et Vignoble","[ 47.1865771531178 , -1.53776178969518]"
"VE0860","VE_TRI018","verre","4.0",""," ","Rue du Chapeau Berger","Chapeau","440215","44120","Vertou","Centre-bourg Est","Loire, Sèvre et Vignoble","[ 47.1716133942479 , -1.46771876593086]"
"VE0585","RE_TRI001","verre","2.5","Déchèterie"," ","Rue Pierre Legendre","Legendre","440143","44400","Rezé","Ragon","Loire, Sèvre et Vignoble","[ 47.1582862417838 , -1.53336151612141]"
"VE0160","CO_TRI033","verre","0.0","Entrée du Parc de la Bourgonnière"," ","Rue de la Gare","Gare","440047","44220","Couëron","","Loire-Chézine","[ 47.2136973524322 , -1.70192409017153]"
"VE0030","BO_TRI006","verre","4.0",""," ","Rue des Basses Landes","Basses","440020","44340","Bouguenais","","Sud-Ouest","[ 47.178477284077 , -1.59101192864205]"
"VE0064","BO_TRI039","verre","4.0",""," ","Rue Maurice Audin","Audin","440020","44340","Bouguenais","","Sud-Ouest","[ 47.1746493435551 , -1.61997252913921]"
"VE0220","MT_TRI009","verre","3.0",""," ","Rue du Commandant l'Herminier","Herminier","440101","44620","La Montagne","","Sud-Ouest","[ 47.1874413858566 , -1.67748169499079]"
"VE0746","LV_TRI002","verre","4.0","OK"," ","Rue des Anciens Chais","Chais","440171","44710","St-Léger-les-Vignes","","Sud-Ouest","[ 47.1369551678863 , -1.72176011928786]"
"VE0026","BY_TRI007","verre","4.0","OK"," ","Rue des Coteaux de Grand Lieu","Coteaux","440018","44830","Bouaye","","Sud-Ouest","[ 47.164302306162 , -1.67943791923434]"
"PC0139","NA_TRI129","papiercarton","0.0",""," ","Rue Jacques Duclos","Duclos","440109","44300","Nantes","Nantes Erdre","Erdre et Loire","[ 47.2393607159694 , -1.54319698271228]"
"VE0919","NA_TRI203","verre","3.0",""," ","Rue du Corps de Garde","Garde","440109","44100","Nantes","Dervallières - Zola","Nantes-Ouest","[ 47.2181946870097 , -1.6019591405919]"
"VE0935","NA_TRI118","verre","0.0","Déplacé de la Rue Ligérienne en janvier 2016"," ","Boulevard de la Loire","Loire","440109","44200","Nantes","Ile de Nantes","Nantes-Loire","[ 47.211441211111 , -1.52786957243889]"
"VE0182","CH_TRI009","verre","0.0",""," ","Rue Jean Jaurès","Jaurès","440035","44240","La Chapelle-sur-Erdre","","Erdre et Cens","[ 47.3007922416578 , -1.55188971934095]"
"VE0174","CH_TRI003","verre","0.0",""," ","Chemin du Palis","Palis","440035","44240","La Chapelle-sur-Erdre","","Erdre et Cens","[ 47.3237525530154 , -1.55313023843904]"
"VE0202","CH_TRI029","verre","0.0",""," ","Boulevard de l'Hopitau","Hopitau","440035","44240","La Chapelle-sur-Erdre","","Erdre et Cens","[ 47.2730475965907 , -1.55121342372561]"
"VE0529","OR_TRI027","verre","0.0",""," ","Avenue de l'Ille","Ille","440114","44700","Orvault","Bois-St-Louis/Plaisance/Ferrière/Val d'Or","Erdre et Cens","[ 47.2405704467979 , -1.59019530512187]"
"VE0516","OR_TRI018","verre","0.0",""," ","Avenue Claude Antoine Peccot","Peccot","440114","44700","Orvault","Cholière/Bigeottière/Salentine","Erdre et Cens","[ 47.2536659281284 , -1.61166744036092]"
"VE0505","OR_TRI008","verre","0.0",""," ","Avenue de la Bugallière","Bugallière","440114","44700","Orvault","Bugallière/Madoire/Bois-Jouan","Erdre et Cens","[ 47.2598709704197 , -1.63492916762307]"
"VE0540","OR_TRI037","verre","0.0",""," ","Rue de l'Omnibus","Omnibus","440114","44700","Orvault","Bourg/Secteur rural","Erdre et Cens","[ 47.2721043607485 , -1.6149440124168]"
"VE0922","BY_TRI008","verre","0.0",""," ","Route de Bouguenais","","440018","44830","Bouaye","","Sud-Ouest","[ 47.1558474084994 , -1.65884881529164]"
"VE0912","RE_TRI061","verre","4.0","Place du marché"," ","Place du 8 mai 1945","Mai","440143","44400","Rezé","Pont Rousseau","Loire, Sèvre et Vignoble","[ 47.1897388349426 , -1.55182169063366]"
"VE0915","RE_TRI058","verre","0.0",""," ","Place Roger Salengro","Salengro","440143","44400","Rezé","Pont Rousseau","Loire, Sèvre et Vignoble","[ 47.1846403361272 , -1.54759775229529]"
"VE0913","RE_TRI059","verre","5.0",""," ","Avenue de Deauville","Deauville","440143","44400","Rezé","La Houssais","Loire, Sèvre et Vignoble","[ 47.1710203965155 , -1.55193943099861]"
"VE0914","RE_TRI060","verre","2.5",""," ","Rue de la Classerie","Classerie","440143","44400","Rezé","La Houssais","Loire, Sèvre et Vignoble","[ 47.1744188212107 , -1.55956214432273]"
"VE0934","NA_TRI202","verre","4.0","ajouté en mai 2015, Dans l'enceinte du complexe sp"," ","Chemin de Belle Ile","Ile","440109","44300","Nantes","Nantes Erdre","Erdre et Loire","[ 47.2458287643133 , -1.54331156519017]"
"VE0929","NA_TRI214","verre","2.5",""," ","Boulevard Boulay Paty","Paty","440109","44100","Nantes","Breil - Barberie","Nantes-Ouest","[ 47.2308580543994 , -1.57641914161647]"
"VE0079","BR_TRI002","verre","4.0","OK"," ","Impasse de la Nouëlle","Nouëlle","440024","44830","Brains","","Sud-Ouest","[ 47.1693002224838 , -1.73597589546836]"
"VE0632","SH_TRI019","verre","4.0",""," ","Rue de Béziers","Béziers","440162","44800","St-Herblain","Est","Loire-Chézine","[ 47.2100264015576 , -1.61782992930111]"
"DS0052","SH_TRI026","Emb. ménager","4.0",""," ","Rue d'Avranches","Avranches","440162","44800","St-Herblain","Est","Loire-Chézine","[ 47.2146835911573 , -1.61779691726437]"
"VE0785","SS_TRI036","verre","3.0",""," ","Rue de la Plume","Plume","440190","44230","St-Sébastien-sur-Loire","","Loire, Sèvre et Vignoble","[ 47.1947396583893 , -1.50567281059274]"
"VE0188","CH_TRI015","verre","0.0",""," ","Rue de Beausoleil","Beausoleil","440035","44240","La Chapelle-sur-Erdre","","Erdre et Cens","[ 47.3028438808591 , -1.56023509657658]"
"VE0205","CH_TRI032","verre","0.0",""," ","Avenue du Verger","Verger","440035","44240","La Chapelle-sur-Erdre","","Erdre et Cens","[ 47.2663868098004 , -1.55106258866131]"
"VE0178","CH_TRI007","verre","0.0",""," ","Rue de Mazaire","Mazaire","440035","44240","La Chapelle-sur-Erdre","","Erdre et Cens","[ 47.292614304885 , -1.56615037830608]"
"VE0098","CA_TRI012","verre","0.0","ICAM"," ","Chemin du Champ de Manoeuvre","Champ","440026","44470","Carquefou","","Erdre et Loire","[ 47.2753001548681 , -1.50434950584362]"
"VE0123","CA_TRI037","verre","0.0",""," ","Rue de l'Amazone","Amazone","440026","44470","Carquefou","","Erdre et Loire","[ 47.3067229091029 , -1.48449828361624]"
"VE0825","SL_TRI010","verre","4.8",""," ","Rue du Mottay","Mottay","440172","44980","Ste-Luce-sur-Loire","","Erdre et Loire","[ 47.2508259445847 , -1.49541327416305]"
"VE0508","OR_TRI010","verre","0.0",""," ","Chemin de Bazoges","Bazoges","440114","44700","Orvault","Bourg/Secteur rural","Erdre et Cens","[ 47.2839047150528 , -1.63014856421974]"
"VE0524","OR_TRI024","verre","0.0",""," ","Rue des Hortensias","Hortensias","440114","44700","Orvault","Bois-St-Louis/Plaisance/Ferrière/Val d'Or","Erdre et Cens","[ 47.2475102541166 , -1.58281555190989]"
"VE0608","SA_TRI008","verre","0.0",""," ","Rue du Vigneau","Vigneau","440194","44880","Sautron","","Erdre et Cens","[ 47.2606621642742 , -1.67270365476406]"
"VE0075","BO_TRI001","verre","4.0",""," ","Rue Pasteur","Pasteur","440020","44340","Bouguenais","","Sud-Ouest","[ 47.1856131930263 , -1.5838263420678]"
"VE0931","NA_TRI131","verre","2.5","installé juillet 2015"," ","Rue Joseph Blanchart","Blanchart","440109","44100","Nantes","Bellevue - Chantenay - Sainte Anne","Nantes-Ouest","[ 47.2033045806953 , -1.58123842990987]"
"VE0932","NA_TRI094","verre","3.0","installé juillet 2015"," ","Boulevard Babin Chevaye","Chevaye","440109","44200","Nantes","Ile de Nantes","Nantes-Loire","[ 47.2054976519253 , -1.5541825083405]"
"VE0933","NA_TRI215","verre","3.5","installé juillet 2015"," ","Quai François Mitterrand","Mitterrand","440109","44200","Nantes","Ile de Nantes","Nantes-Loire","[ 47.2075458568039 , -1.55699648320196]"
"PC0135","NA_TRI035","papiercarton","3.5","Ecopoint de Viarme"," ","Rue d'Auvours","Auvours","440109","44000","Nantes","Hauts Pavés - Saint Félix","Nantes-Ouest","[ 47.2222017961671 , -1.5649925149423]"
"VE0584","RE_TRI045","verre","0.0",""," ","Chaussée de la Madeleine","Madeleine","440143","44400","Rezé","La Houssais","Loire, Sèvre et Vignoble","[ 47.1785428530438 , -1.55524170319896]"
"VE0618","SA_TRI001","verre","0.0",""," ","Route de la Hubonnière","Hubonnière","440194","44880","Sautron","","Erdre et Cens","[ 47.2602756444828 , -1.65447849558093]"
"VE0821","SL_TRI007","verre","0.0",""," ","Rue du Pavillon","Pavillon","440172","44980","Ste-Luce-sur-Loire","","Erdre et Loire","[ 47.2536307661058 , -1.47431868067778]"
"VE0835","SL_TRI002","verre","0.0",""," ","Rue de la Loire","Loire","440172","44980","Ste-Luce-sur-Loire","","Erdre et Loire","[ 47.2450136304288 , -1.48418408804377]"
"VE0113","CA_TRI027","verre","0.0",""," ","Route de Port Jean","Port","440026","44470","Carquefou","","Erdre et Loire","[ 47.3030291063262 , -1.52360840865197]"
"VE0109","CA_TRI023","verre","0.0",""," ","Rue de la Salle","Salle","440026","44470","Carquefou","","Erdre et Loire","[ 47.3004390755843 , -1.44038213073281]"
"VE0106","CA_TRI020","verre","0.0",""," ","Rue Victor Hugo","Hugo","440026","44470","Carquefou","","Erdre et Loire","[ 47.2823836468746 , -1.48165145502111]"
"VE0088","CA_TRI002","verre","0.0",""," ","Place de la Libération","Libération","440026","44470","Carquefou","","Erdre et Loire","[ 47.2956961220211 , -1.49152983770964]"
"VE0122","CA_TRI036","verre","0.0",""," ","Passage des Enfants","Enfants","440026","44470","Carquefou","","Erdre et Loire","[ 47.3001055983486 , -1.49540266793144]"
"VE0107","CA_TRI021","verre","0.0",""," ","Rue de la Cadranière","Cadranière","440026","44470","Carquefou","","Erdre et Loire","[ 47.2736761102505 , -1.48962554299534]"
"VE0924","JB_TRI012","verre","4.0","Déplacée en oct 2014 suite à demande propriétaire "," ","Rue de Bel-Air","Bel","440166","44640","St-Jean-de-Boiseau","","Sud-Ouest","[ 47.1832435538534 , -1.69723851902426]"
"VE0930","SS_TRI063","verre","3.0",""," ","Rue Annie Hure","Hure","440190","44230","St-Sébastien-sur-Loire","","Loire, Sèvre et Vignoble","[ 47.2050235870175 , -1.4997140344728]"
"VE0834","SL_TRI019","verre","0.0",""," ","Rue André-Marie Ampère","Ampère","440172","44980","Ste-Luce-sur-Loire","","Erdre et Loire","[ 47.2636196612677 , -1.48844966371059]"
"VE0836","SL_TRI020","verre","0.0",""," ","Rue Louis Blériot","Blériot","440172","44980","Ste-Luce-sur-Loire","","Erdre et Loire","[ 47.274886335603 , -1.46703161984984]"
"VE0837","SL_TRI021","verre","0.0","Chambre des métiers, centre de formation"," ","Place Jacques Chesné","Chesné","440172","44980","Ste-Luce-sur-Loire","","Erdre et Loire","[ 47.2627751967424 , -1.48914712694028]"
