ID,CODE,NOM,STATUT,DESCRIPTION,DESCRIPTION_EN,ADRESSE,ADRESSE_CPLT,CP,COMMUNE,TEL,WEB,EMAIL,TWITTER,FACEBOOK,GOOGLE_PLUS,HORAIRES,OBJETS_RECUPERES,OBJETS_EN,CATEG_OBJETS,latitude,longitude,ORIGINE_INFO,Horaires,Acceptez-vous que ces informations soient publiques ?
11,stco_reemploi_solilab,Le comptoir du Solilab (Atelier du Retz Emploi et Ding Fring),Association,"<ul>Deux acteurs locaux du réemploi et de la valorisation s'unissent dans une nouvelle boutique pour proposer un grand choix d'objets de seconde main : Le Comptoir. <li>l'Atelier du Retz Emploi, anime une filière professionnelle de récupération et de traitement des objets en vue du réemploi.<br/>C'est une Ressourcerie qui collecte, valorise, trie, nettoie et revend à petits prix dans ses boutiques solidaires en recréant du lien social et en proposant un accueil chaleureux.</li><li>Le Relais Atlantique est une entreprise d'insertion en SCOP qui collecte, trie et valorise les textiles, les chaussures et le linge de maison.<br/>Les vêtements et articles en bon état sont commercialisés à petit prix dans son réseau de boutiques de seconde main 'DING FRING' et au Comptoir du Solilab. Vente au kilo à partir de 7€50.</li></ul><br/>HORAIRES D'OUVERTURE : Du Mardi au Samedi de 10 h à 18 h <br/>Permanences sur déchèterie (déchèterie de Tougas à Saint-Herblain et Déchèterie de Saint-Sébastien) : vous pouvez y déposer chaque jour des objets réutilisables<br/>Accès : Tan : Ligne C5 Arrêt «Quai des Antilles»","<ul> Two local players re-use and recovery unite in a new shop to offer a wide range of second-hand items: Le Comptoir. <li> Atelier du Retz Employment, runs a vocational track recovery and processing of objects for reuse. This is a Ressourcerie <br/> collecting, values, sorts, cleans and sells at low prices in its charity shopping recreating social links and providing a warm welcome. </ li> <li> The Atlantic Relais is an insertion company SCOP that collects, sorts and values ??the textiles, footwear and linens. < br /> The clothing and items in good condition are sold at low prices in its network of second-hand shops 'DING FRING' and desk Solilab </ li> </ ul> <br/> OPENING HOURS.: From Tuesday to Saturday from 10 am to 18 pm on déchèterie <br/> Permanences (déchèterie Tougas of Saint-Herblain and Recycling center of San Sebastian) you can deposit each day reusable objects <br/> Access: Tan: Off Line C5 'Quai des Antilles'",8 rue Saint Domingue,,44200,NANTES,,www.atelierduretzemploi.org,,,,https://drive.google.com/file/d/0B5dknMvA6hy8N0VERkJpUzIxaDg/edit?usp=sharing,0101-3112_ma+me+je+ve+sa_10h00-18h,"linge,textile,chaussure,vaisselle,outillage,jouet,livre,meuble","linen, textiles, shoes, dishes, tools, toy, book, furniture","livres/bd/cd/dvd, jouet, vêtements, divers",47.201027,-1.571628,"Renseigné sur formulaire de mieuxtrieranantes.fr, le 22/07/2014",Du Mardi au Samedi de 10 h à 18 h,OUI
12,stco_reemploi_naga,Nâga,Association,"Nâga est une association de récupération et de don d’ordinateurs sur Nantes Métropole.<br/>Nous intervenons dans la récupération de parcs informatiques d’entreprises et d’ordinateurs de particuliers.<br/>Les ordinateurs sont alors reconditionnés, puis donnés aux adhérents de l’association.",The Nâga is an association making recovery and computer donation Nantes Métropole. We operate in the IT asset recovery companies and private computers. The computers are then reconditioned and given to members of the association.,17 chemin fontaine Launay,,44400,REZÉ,02 85 52 31 22,www.naga44.org,contact@naga44.org,,,,,"ordi,ordinateur",computer,informatique,47.187252,-1.5476762,"Selon les infos fournies par Nâga, le 03/11/2016",Sur rendez-vous,OUI
13,stco_reemploi_lapommeetlalionne,La Pomme et La Lionne,Entreprise,"début mars 2015, un espace sera disponible pour mon atelier boutique à ST Nazaire, près du marché","beginning in March 2015, a space will be available to my shop workshop ST Nazaire, near the market",18 r Gauloise,,44600,SAINT NAZAIRE,06.33.63.35.52,,lapommelalionne@gmail.com,,http://www.facebook.com/lapomme.etlalionne/photos_stream,,,"vêtement, pull, pantalon, veste","garment, sweater, pants, jacket",vêtements,47.27985,-2.207535,"Renseigné sur formulaire de mieuxtrieranantes.fr, le 01/09/2014",10h-12h/14h-19h,OUI
14,stco_reemploi_techrecyclage,Tech Recyclage,Entreprise,"Tech-Recyclage recycle vos appareils informatiques cassés ou obsolètes. Nous réparons aussi vos ordinateurs portables (écrans cassés, plasturgie...).<br/>Enlèvement gratuit sur demande téléphonique ou mail.","Tech-Recycling recycles your broken or obsolete computer equipment. We also repair your laptops (broken screens, plastics ...). Removal <br/> free on telephone request or email.",22 rue de Verdun,Magasin Nelumbo,44000,NANTES,06 66 97 99 68,,contact@tech-recyclage.com,,https://www.facebook.com/techrecyclage,,"0101-3112_lu_13h00-19h00,0101-3112_ma+me+je+ve+sa_10h30-19h00","ordinateurs,imprimantes,smartphones,tablettes","computers, imrpmantes, smartphones, tablets",,47.216793,-1.552638,"Renseigné sur formulaire de mieuxtrieranantes.fr, le 14/01/2015",,OUI
15,stco_reemploi_catourneautroc,Ça Tourn'au Troc (Couëron),Entreprise,Dépôt-vente vêtements et accessoires. Femme et enfant. Dépôt uniquement sur rendez-vous. ,Consignment clothing and accessories. Woman and child. Deposit by appointment only.,1 rue de la Marne ,,44220,COUËRON,09 51 49 22 88,,catourneautroc@free.fr,,,,"0101-3112_ma+me+je+ve_09h00-12h15+15h00-18h30,0101-3112_sa_10h00-12h00","vêtement, pull, pantalon, veste","garment, sweater, pants, jacket",vêtements,47.209943,-1.730260,Ça Tourn'au Troc / MieuxTrierANantes 03/2016,"Mardi au Vendredi 09h00 à 12h15 - 15h00 à 18h00, Samedi : 10h00 à 12h00 ",OUI
16,stco_reemploi_ataovelo,ATAO (Saint-Herblain) vélo,Association,Plusieurs types de services sont proposés aux entreprises et aux particuliers :<br/>- la vente de bicyclettes remises en état et garanties<br/>-L'entretien de bicyclettes de particuliers ou d'un parc d'entreprise.,,7 rue du Lamineur , ,44800,SAINT-HERBLAIN,02 40 92 89 00,http://atao-insertion.fr/,velo@atao-insertion.fr, ,https://www.facebook.com/ATAOnantes/?fref=ts, ,"0101-3112_lu+me_08h00-12h00+13h30-16h00,0101-3112_ma+je_08h00-12h15+13h00-17h00,0101-3112_ve_08h00-12h00","vélo,roue,pédalier","bike,wheel,pedals",vélo,47.218935,-1.645201,Entretien Atao / MieuxTrierANantes 03/2016," Lundi et mercredi : 8h - 12h & 13h30 – 16h, Mardi et jeudi 8h - 12h15 & 13h – 17h, Vendredi 8h – 12h<br/>Le 1er mercredi de chaque mois : ouverture à 13h30",OUI
17,stco_reemploi_ataoauto,ATAO (Saint-Herblain) auto,Association,"ATAO recherche des véhicules usagés qui puissent être réparés : berlines ou petits utilitaires (toutes marques, tous kilométrages).<br/>Ses salariés les remettent en état et l’association les vend aux personnes à faible revenu (RSA, jeunes...), dans le cadre de leur projet professionnel.<br/><br/>ATAO développe ainsi une double démarche d'insertion :<br/>- Vos dons permettent une activité professionnalisante dans les métiers de la mécanique automobile et de l'accueil, ce qui permet le retour à l'emploi de ses salariés<br/> - Une fois remis à neuf, ces véhicules offrent aux bénéficiaires de minima sociaux la mobilité nécessaire pour accéder à l'emploi.<br/><br/>Et : vous réduisez vos impôts : Les dons permettent une déduction fiscale : 60 % du montant pour les entreprises et 66 % pour les particuliers.",,7 rue du Lamineur , ,44800,SAINT-HERBLAIN,02 40 92 28 91,http://atao-insertion.fr/,auto@atao-insertion.fr, ,https://www.facebook.com/ATAOnantes/?fref=ts, ,"0101-3112_lu_08h00-12h15+13h30-16h00,0101-3112_ma_08h00-12h15+13h30-17h00,0101-3112_me_08h00-12h00+13h30-16h00,0101-3112_je_08h00-12h15+13h00-17h00,0101-3112_ve_08h00-12h15","auto,automobile,auto,voiture","car,automotive,auto",,47.218935,-1.645201,Entretien Atao / MieuxTrierANantes 03/2016,"Lundi 8h00 - 12h15 / 13h30 – 16h00,Mardi 8h00 - 12h15 / 13h00 – 17h00,Mercredi* 8h00 - 12h00 / 13h30 – 16h00,Jeudi 8h00 - 12h15 / 13h00 – 17h00,Vendredi 8h00 – 12h15<br/>* Le 1er mercredi de chaque mois : ouverture à 13h30",OUI
18,stco_reemploi_boiteutile1,"La Boîte Utile (Vincent Gache, Nantes)",Association,"Impulsé par les associations locales monECOCITY Nantes et La Nizanerie, le collectif Les Boîtes Utiles a pour objet de promouvoir, aider et fédérer les différents projets de ‘GiveBox' sur l'agglo.<br/><br/>Dédiées au don et à l'échange, ces boîtes se présentent sous la forme d'une armoire, d'une cabine ou d'une cabane grand format. Elles invitent les habitants d'un quartier à déposer et/ou dénicher toutes sortes d'objets en bon état. Ni poubelle, ni mini-déchetterie, la Boîte utile est une solution citoyenne de proximité pour éviter le gaspillage et favoriser une consommation plus durable. Elle crée aussi un point de rencontre et de convivialité.","Driven by local associations monECOCITY Nantes and La Nizanerie, the collective Useful Boxes aims to promote, assist and unite the different projects 'GiveBox' on the chipboard. <br/> Dedicated donation and exchange, these boxes come in the form of a wardrobe, a cabin or a large format cabin. They invite the residents of a neighborhood to file and / or find all sorts of items in good condition. Neither trash or mini recycling center, the useful citizen Box is a local solution to avoid waste and promote more sustainable consumption. It also creates a meeting place and conviviality.",rue de Nizan,,44200,NANTES,,http://lesboitesutiles.tumblr.com/,lesboitesutiles@gmail.com,,,,0101-312_lu-ma-me-je-ve-sa-di_00h00-23h59,"vêtement,pull,pantalon,veste,jeu,divers",,divers,47.205534,-1.550461,MieuxTrierANantes 01/2015,Ouvert tout le temps,
19,stco_reemploi_boiteutile2,"La Boîte Utile 3 (La Bottière, Nantes)",Association,"Impulsé par les associations locales monECOCITY Nantes et La Nizanerie, le collectif Les Boîtes Utiles a pour objet de promouvoir, aider et fédérer les différents projets de ‘GiveBox' sur l'agglo.<br/><br/>Dédiées au don et à l'échange, ces boîtes se présentent sous la forme d'une armoire, d'une cabine ou d'une cabane grand format. Elles invitent les habitants d'un quartier à déposer et/ou dénicher toutes sortes d'objets en bon état. Ni poubelle, ni mini-déchetterie, la Boîte utile est une solution citoyenne de proximité pour éviter le gaspillage et favoriser une consommation plus durable. Elle crée aussi un point de rencontre et de convivialité.","Driven by local associations monECOCITY Nantes and La Nizanerie, the collective Useful Boxes aims to promote, assist and unite the different projects 'GiveBox' on the chipboard. <br/> Dedicated donation and exchange, these boxes come in the form of a wardrobe, a cabin or a large format cabin. They invite the residents of a neighborhood to file and / or find all sorts of items in good condition. Neither trash or mini recycling center, the useful citizen Box is a local solution to avoid waste and promote more sustainable consumption. It also creates a meeting place and conviviality.","esplanade de la Maison de Quartier, 147 route de Sainte-Luce",,44300,NANTES,,http://lesboitesutiles.tumblr.com/,lesboitesutiles@gmail.com,,,,0101-312_lu-ma-me-je-ve-sa-di_00h00-23h59,"vêtement,pull,pantalon,veste,jeu,divers",,divers,47.236002,-1.519424,MieuxTrierANantes 09/2015,Ouvert tout le temps,
20,stco_reemploi_boiteutile3,"La Boîte Utile 2 (Sainte-Thérèse, Nantes)",Association,"Impulsé par les associations locales monECOCITY Nantes et La Nizanerie, le collectif Les Boîtes Utiles a pour objet de promouvoir, aider et fédérer les différents projets de ‘GiveBox' sur l'agglo.<br/><br/>Dédiées au don et à l'échange, ces boîtes se présentent sous la forme d'une armoire, d'une cabine ou d'une cabane grand format. Elles invitent les habitants d'un quartier à déposer et/ou dénicher toutes sortes d'objets en bon état. Ni poubelle, ni mini-déchetterie, la Boîte utile est une solution citoyenne de proximité pour éviter le gaspillage et favoriser une consommation plus durable. Elle crée aussi un point de rencontre et de convivialité.","Driven by local associations monECOCITY Nantes and La Nizanerie, the collective Useful Boxes aims to promote, assist and unite the different projects 'GiveBox' on the chipboard. <br/> Dedicated donation and exchange, these boxes come in the form of a wardrobe, a cabin or a large format cabin. They invite the residents of a neighborhood to file and / or find all sorts of items in good condition. Neither trash or mini recycling center, the useful citizen Box is a local solution to avoid waste and promote more sustainable consumption. It also creates a meeting place and conviviality.",59 Rue de la Gourmette,,44300,NANTES,,http://lesboitesutiles.tumblr.com/,lesboitesutiles@gmail.com,,,,0101-312_lu-ma-me-je-ve-sa-di_00h00-23h59,"vêtement,pull,pantalon,veste,jeu,divers",,divers,47.233464,-1.574327,MieuxTrierANantes 03/2016,Ouvert tout le temps,
21,stco_reemploi_react,Re-act,Association,"RE-act est un service né en 2010 de proximité proposant aux gens de transformer leurs vêtements afin de s'offrir une nouvelle pièce unique et sur-mesure.<br/><br/>Il s'adresse majoritairement à des personnes peu consuméristes à la recherche d'originalité et de singularité par une nouvelle expérience du vêtement et leur offre ainsi une alternative séduisante à la consommation de textiles neufs.<br/>Les clients apportent leurs vieux vêtements en boutique, choisissent parmi les coupes disponibles et commandent leur nouveau vêtement, personnalisé, fait à partir de leurs propres vêtements","RE-act is a born commissioned in 2010 offering local people to transform their clothes in order to offer a new unique and customized. <br/> It mainly caters to low-consumerist looking for originality and uniqueness through a new experience of the garment and thus offers an attractive alternative to the use of new textiles. <br/> Customers bring their old clothes shop, choose from the available sections and control their new clothing, personalized, made from their own clothes","chez Adeline Letscher, 1 allée des Iles Marquises",,44300,NANTES,06 69 17 33 89,http://re-act.fr/,react.nantes@gmail.com,http://twitter.com/RE_atelier,http://www.facebook.com/pages/RE-act/258885030331,,,"vêtement, pull, pantalon, veste","garment, sweater, pants, jacket",vêtements,47.242692,-1.571018,MieuxTrierANantes 01/2015,Ouvert tout le temps,
22,stco_reemploi_stationservices,Stations services,Association,Nous récupérons des matières premières propres qui puissent ensuite être revendues à très bas prix aux créatifs pour être réemployer,We recover the own raw materials that could then be resold at very low prices to be creative reuse,9 Rue de la Bauche Thiraud,,44400,REZE,02 28 96 11 65,http://stations-services.org/,,,https://www.facebook.com/pages/STATIONS-SERVICES/163011530550420?fref=ts,,0101-3112_me+ve+sa_10h00-18h00,"matières premières : bois, métal, plastiques, textille…","raw materials: wood, metal, plastics, ... textille","vêtements, divers",47.164283,-1.543663,"Actualisation par mieuxtrieranantes.fr, le 07/2016",,
23,stco_reemploi_recuperette,La récupérette (Clisson),Association,"Les dépots peuvent se faire sur les horaires d'ouverture de la boutique.<br/><br/>RÉCUPÈRE le matériel en bon état :<br/>- Vaisselle et batterie de cuisine<br/>- Outils de bricolage et de jardin<br/>- Bibelots et objets de décoration<br/>- Vêtements propres et en bon état<br/>- Jouets et matériel de puériculture<br/>- Livres / CD / Vinyles<br/>- Meubles en bon état<br/>- Luminaires<br/><br/>Ne RÉCUPÈRE pas le matériel en mauvais état ainsi que ...<br/>- Déchets verts<br/>- Cartouches et toners d'imprimantes<br/>- K7 vidéo<br/>- Téléphones portables, chargeurs<br/>- Téléviseurs, télécommandes<br/>- Matériel informatique<br/>- Vêtements sales ou abîmés<br/>","The deposits can be made on the opening hours of the shop <br/> RECOVERED it in good equipment. <br/> - Crockery and battery <br/> kitchen - DIY and Tools <br/> garden - Trinkets <br/> and decorative objects - clean clothing in good condition <br/> - <br/> Toys and baby equipment - Books / CD / Vinyl <br/> - Furniture of good <br/> state - Lighting <br/> Do not RECOVERED equipment in disrepair and ... <br/> - Green waste <br/> - Cartridges and toners for printers <br/> - K7 video <br/> - Mobile Phones, <br/> Chargers - Televisions, <br/> remote controls - Hardware <br/> - dirty or damaged clothing <br/>",4 rue des Châtaigniers,,44190,CLISSON,07 81 95 54 13,http://larecuperette.jimdo.com/,larecuperette@gmail.com,,https://www.facebook.com/pages/La-R%C3%A9cup%C3%A9rette/1545686572345192?fref=ts,,,"vaisselle et batterie de cuisine, outils de bricolage et de jardin, bibelots et objets de décoration, vêtements propres et en bon état, jouets et matériel de puériculture, livres / cd / vinyles, meubles en bon état, luminaires","tableware and kitchenware, DIY and garden tools, ornaments and decorative items, and clean clothes in good condition, toys and baby equipment, books / CDs / vinyl, furniture in good condition, lighting","vêtements, livres/bd/cd/dvd, jouet, divers",47.077636,-1.282525,MieuxTrierANantes 01/2015,,OUI
24,stco_reemploi_arbres,Arbres,Association,Récupération de papier (même pour des volumes moyens),Recovered paper (even for average volumes),"105, Rue des Renards",,44300,NANTES,02 40 40 35 55,http://www.arbres44.org,arbresnord@wanadoo.fr,,,,"0101-3112_lu+ma+me+je_12h00-14h00,0101-3112_lu+ma+me+je_14h00-17h00,0101-3112_ve_09h00-12h30,0101-3112_ve_14h00-16h00",papier,paper,divers,47.260956,-1.570404,MieuxTrierANantes 01/15,"La boutique est ouverte :<br/>- tous les mercredis 9h à 13h et de 14h à 17h,<br/>- tous les vendredis matins 9h à 13h,<br/>- tous les 2èmes samedis du mois 10h à 17h",
