code,lat,lng,category,objet,nom,adresse,codepostal,ville,commentaire,horaire,telephone,fax,courriel,siteinternet,src,modesCollecte,type
stco_reemploi11,-1.503839,47.225106,Décheterie,Dechets,NANTES,Rue Vulcain,44300,NANTES,"Déchets admis : Déblais et gravats issus du bricolage familial, papiers, cartons, encombrants ménagers divers, Déchets d'équipements Electriques et Electroniques, batteries, verre, huiles de moteur, bouteilles et flacons plastique, bois, ferrailles, déchets verts issus des ménages. Déchets Dangereux des Ménages : produits toxiques, dangereux ou instables (peinture, vernis, colle, diluants...) ; piles ; bouteilles de gaz ; déchets d'amiante-lié : fibrociment, fibro ondulé (long maxi 2m, quantité maxi 10 plaques), tubes en fibrociment en petite longueur, les cuves ou jardinières; pneus.",Ouvert du Lundi au Samedi de 10h à  18h et le Dimanche de 8h30 à  12h (sauf jours fériés),02 40 49 43 20,,,<a href='http://www.nantesmetropole.fr/pratique/dechets/les-decheteries-et-ecopoints-23191.kjsp?RH=faq_trisac' target='_blank' >www.nantesmetropole.fr</a>,DeuxiemeVie 03/14,modco_decheterie,,"0101-3112_lu+ma+me+je+ve+sa_10h00-18h00,0101-3112_di_08h30-12h00,sauf_ferie"
stco_reemploi12,-2.2726939,47.2599674,Récup.,Electromenager,ENVIE 44,"Zone commerciale Océanis, 29 rue de l’étoile du matin",44600,SAINT-NAZAIRE,Récupération et vente d'électroménager,Du mardi au samedi de 10h à 12h30 et de 14h30 à 19h,02 53 35 51 90 ,,envie.44.sn@orange.fr,<a href='http://www.envie.org' target='_blank' >www.envie.org</a>,DeuxiemeVie 03/14,smco_reempelectromenag, électroménager,"0101-3112_ma+me+je+ve+sa_12h00-14h00,0101-3112_ma+me+je+ve+sa_14h30-19h00"
stco_reemploi13,-2.161143,47.3264595,Récup.,Autres,ESAT Marie Moreau,40 rue du Docteur Schweitzer,44612,SAINT-NAZAIRE,"L'atelier recycle les toiles de voile ou les bâches publicitaires pour en faire des sacs marins, des cabas, des cartables ou des étuis isothermes. Ces articles sont aussi commercialisés dans le magasin Artisan du Monde de Saint-Nazaire.",,02 40 53 85 79,02 40 70 68 50,cat.marie-moreau@wanadoo.fr,<a href='http://www.marie-moreau.fr/esat.php' target='_blank' >www.marie-moreau.fr</a>,DeuxiemeVie 03/14,smco_reempdivers, divers,
stco_reemploi14,-1.573717,47.258869,Récup.,Autres,ATAO,"7 bis, rue Jacques Cartier",44300,NANTES,Récupération et vente de vélo et de cyclomoteurs,,02 40 59 93 68,02 51 77 19 78,contact@atao-insertion.fr,<a href='http://atao-insertion.fr' target='_blank' >http://atao-insertion.fr/</a>,DeuxiemeVie 03/14,smco_reempdivers, divers,
stco_reemploi15,-1.6133603,47.2062095,Récup.,Cartouche,LEVER L'ENCRE,14 Boulevard Winston Churchill,44100,NANTES,Recharge de cartouche d'imprimante et remanufacturation de toner,,,,contact@leverlencre.fr,<a href='http://www.leverlencre.fr' target='_blank' >www.leverlencre.fr</a>,DeuxiemeVie 03/14,smco_reempcartouchetoner, cartouches encre/tuners,
stco_reemploi16,-1.5578842,47.2143672,Récup.,Autres,Optique Jean ROYER,"11, place Royale",44000,NANTES,Récupération de lunettes,"Du mardi au samedi de 10h à 19h, le lundi de 14h à 19h",02 40 48 75 73,09 58 40 75 73,,<a href='http://www.optique-royer.com' target='_blank' >www.optique-royer.com</a>,DeuxiemeVie 03/14,smco_reempdivers, divers,"0101-3112_ma+me+je+ve+sa_10h00-19h00,0101-3112_lu_14h00-19h00"
stco_reemploi17,-1.4852487,47.1842788,Récup.,Autres,PAPIERS DE L'ESPOIR,29 Rue Maladrie,44120,VERTOU,"Collecte de papiers usagés. L'association a pour objectif de financer des actions humanitaires éducatives à partir d'un geste écologique, le tri du papier.",,02 40 34 29 24 ou 06 75 67 98 02 ou 06 37 27 14 22 (St-Nazaire),,papiersdelespoir@free.fr,<a href='http://www.lespapiersdelespoir.fr' target='_blank' >www.lespapiersdelespoir.fr</a>,DeuxiemeVie 03/14,smco_reempdivers, divers,
stco_reemploi18,-1.5515172,47.1879293,Récup.,Vetement,DING-FRING Rezé,75 Rue de la Commune,44400,REZE,Boutique du Relais,Du lundi au vendredi de 10h à 12h30 et de 14h à 19h00. Le samedi de 10h à 12h30 et de 14h à 18h30,02 51 70 28 35,,,<a href='http://www.lerelais.org/-Nos-boutiques-Ding-Fring-.html' target='_blank' >www.lerelais.org/-Nos-boutiques-Ding-Fring-.html</a>,DeuxiemeVie 03/14,smco_reempvet, vêtements,"0101-3112_lu+ma+me+je+ve_10h00-12h30,0101-3112_lu+ma+me+je+ve_14h00-19h00,0101-3112_sa_10h00-12h30,0101-3112_sa_14h00-18h30"
stco_reemploi19,-1.641401,47.224091,Récup.,Meuble,L'HOMME DEBOUT,9 rue des Compagnons,44800,SAINT-HERBLAIN,Récupération de meubles,Ferme le mercredi apres midi et le vendredi. Devis meuble le mardi de 14 a 17h et le jeudi de 9 a 12h.,02 40 92 26 91,02.40.92.26.92,lhommedebout@wanadoo.fr,<a href='http://www.lhommedebout.com' target='_blank' >www.lhommedebout.com</a>,DeuxiemeVie 03/14,smco_reempmeuble, meuble,0101-3112_lu+ma+me+je+ve_12h00-14h00
stco_reemploi20,-1.2710598,47.165074,Récup.,Vetement,PAT'MOUILLE,8 route de la loire,44330,VALLET,"Collecte et vente à petits prix des articles textiles : vêtements adulte et enfant, linge plat, maroquinerie, jouets, bijoux fantaisie...",du lundi au vendredi de 8h à 12h30 et de 14h à 19h ainsi que le samedi matin de 9h à 12h30,02 40 36 39 89,02 40 36 39 89,patmouille@wanadoo.fr,<a href='http://www.patmouille.fr/' target='_blank' >www.patmouille.fr</a>,DeuxiemeVie 03/14,"smco_reempvet,smco_reempjouet"," vêtements, jouet","0101-3112_lu+ma+me+je+ve_08h00-12h30,0101-3112_lu+ma+me+je+ve_14h00-19h00,0101-3112_sa_09h00-12h30"
stco_reemploi21,-1.641127,47.223984,Récup.,Autres,ATAO,4 rue des compagnons,44800,SAINT-HERBLAIN,Récupération et vente de vélo et de cyclomoteurs,,02 40 92 28 91,,contact@atao-insertion.fr,<a href='http://atao-insertion.fr' target='_blank' >http://atao-insertion.fr/</a>,DeuxiemeVie 03/14,smco_reempdivers, divers,
stco_reemploi22,-1.483498,47.199569,Décheterie,Dechets,SAINT SEBASTIEN SUR LOIRE,Rue Pierre Legendre,44400,SAINT SEBASTIEN SUR LOIRE,"Déchets admis : déblais et gravats issus du bricolage familial, papiers, cartons, encombrants ménagers divers, Déchets d'équipements Electriques et Electroniques, batteries, verre, huiles de moteur, bouteilles et flacons plastique, bois, ferrailles, déchets verts issus des ménages.","Ouvert tous les jours de 10h à  18h, dimanche compris (sauf jours fériés)",02 40 03 08 33,,,<a href='http://www.nantesmetropole.fr/pratique/dechets/les-decheteries-et-ecopoints-23191.kjsp?RH=faq_trisac' target='_blank' >www.nantesmetropole.fr</a>,DeuxiemeVie 03/14,modco_decheterie,,"0101-3112_lu+ma+me+je+ve+sa+di_10h00-18h00,sauf_ferie"
stco_reemploi23,-2.2117936,47.2803679,Récup.,Cartouche,CARTRIDGE WORLD,68 Avenue de la République,44600,SAINT-NAZAIRE,Recharge de cartouche d'imprimante et remanufacturation de toner,Lundi au Samedi de 09H00 à 19H00,02 40 24 80 09,02 40 42 56 24,,<a href='http://www.cartridgeworld.fr' target='_blank' >www.cartridgeworld.fr</a>,DeuxiemeVie 03/14,smco_reempcartouchetoner, cartouches encre/tuners,0101-3112_lu+ma+me+je+ve+sa_09h00-19h00
stco_reemploi24,-1.621382,47.329666,Récup.,Autres,ECHANGES ET SOLIDARITE 44,64 rue de la mairie,44119,TREILLIERES,"Récupération de ferrailles, voitures, cuivre, batteries, linge, vaisselles, bibelots, fauteuils roulants, machines à  coudre. Récupération possible à  domicile",,02 40 43 84 91,,echanges.solidarite@wanadoo.fr,<a href='http://www.es44.org' target='_blank' >www.es44.org</a>,DeuxiemeVie 03/14,smco_reempdivers, divers,
stco_reemploi25,-1.411228,47.313224,Décheterie,Dechets,MAUVES-SUR-LOIRE,Rond point Lacroix,44470,MAUVES-SUR-LOIRE,"Déchets admis : Déblais et gravats issus du bricolage familial, papiers, cartons, encombrants ménagers divers, Déchets d'équipements Electriques et Electroniques, batteries, verre, huiles de moteur, bouteilles et flacons plastique, bois, ferrailles, déchets verts issus des ménages.",Ouvert Lundi et Mercredi de 14h à  18h et Samedi de 10h à  18 h (sauf jours fériés),,,,<a href='http://www.nantesmetropole.fr/pratique/dechets/les-decheteries-et-ecopoints-23191.kjsp?RH=faq_trisac' target='_blank' >www.nantesmetropole.fr</a>,DeuxiemeVie 03/14,modco_decheterie,,"0101-3112_lu+ma+me_14h00-18h00,0101-3112_sa_10h00-18h00,sauf_ferie"
stco_reemploi26,-1.654222,47.258053,Récup.,Autres,ATELIER BAR'AMEL TRAJET,"9, Route de Brimberne",44880,SAUTRON,Récupération de pain,,02 51 78 64 62,02 40 63 27 76,atelier-baramel@asso-trajet.fr,<a href='http://reseau-insertion44.fr/annuaire/latelier-baramel' target='_blank' >www.reseau-insertion44.fr</a>,DeuxiemeVie 03/14,smco_reempdivers, divers,
stco_reemploi27,-1.718935,47.187263,Décheterie,Dechets,SAINT-JEAN-DE-BOISEAU,Rue de la Poterie,44640,SAINT-JEAN-DE-BOISEAU,"Déchets admis : Déblais et gravats issus du bricolage familial, papiers, cartons, encombrants ménagers divers, Déchets d'équipements Electriques et Electroniques, batteries, verre, huiles de moteur, bouteilles et flacons plastique, bois, ferrailles, déchets verts issus des ménages.","Ouvert tous les jours de 10h à  18h, dimanche compris (sauf jours fériés)",02 40 32 94 22,,,<a href='http://www.nantesmetropole.fr/pratique/dechets/les-decheteries-et-ecopoints-23191.kjsp?RH=faq_trisac' target='_blank' >www.nantesmetropole.fr</a>,DeuxiemeVie 03/14,modco_decheterie,,"0101-3112_lu+ma+me+je+ve+sa+di_10h00-18h00,sauf_ferie"
stco_reemploi28,-2.1881119,47.3108847,Récup.,Electromenager,EMMAUS,43 bis Rue Jean-Baptiste Marcet,44570,TRIGNAC,"Meubles, appareils et ustensiles ménagers, literie, couverture, linge, lustres et luminaires, vêtements, livres, vaisselle...","Dépôts des dons : Mardi, mercredi, vendredi et le samedi de 9h30 à 11h30 et de 13h30 à 16h30. Salle de vente : Le mercredi de 13h30 à 17h30 et le samedi de 9h30 à 11h30 et de 13h30 à 17h30.",08 99 23 72 78,02 40 32 86 96,contact@emmaus44.fr,<a href='http://www.emmaus44.fr' target='_blank' >www.emmaus44.fr</a>,DeuxiemeVie 03/14,"smco_reempelectromenag,smco_reempmeuble,smco_reempvet,smco_reemplivreCD,smco_reempdivers"," électroménager, meuble, vêtements, livred/BD/CD/DVD/, divers","0101-3112_ma+me+ve+sa_09h30-11h30+13h30-16h30,0101-3112_me_13h30-17h30,0101-3112_sa_09h30-11h30+13h30-17h30,"
stco_reemploi29,-2.2100357,47.2774346,Récup.,Informatique,SNALIS,61 rue d’Anjou,44600,SAINT-NAZAIRE,"Récupération, reconditionnement et distribution d'ordinateurs",Ouvert au public le jeudi de 14h à 17h,09 50 72 82 51,,contact@snalis.org,<a href='http://www.snalis.org/' target='_blank' >www.snalis.org</a>,DeuxiemeVie 03/14,smco_reempinfo, informatique,0101-3112_je_14h00-17h00
stco_reemploi30,-1.51986,47.239259,Récup.,Informatique,ALIS44,60 rue de la Bottière,44300,NANTES,"Récupération, reconditionnement et distribution d'ordinateurs","Du lundi au vendredi, 9h-12h et 14h-18h",06.47.98.02.68,,alis-asso@alis44.org,<a href='http://www.alis44.org' target='_blank' >www.alis44.org</a>,DeuxiemeVie 03/14,smco_reempinfo, informatique,"0101-3112_lu+ma+me+je+ve_09h00-12h00,0101-3112_lu+ma+me+je+ve_14h00-18h00"
stco_reemploi31,-1.5591834,47.2125716,Récup.,Cartouche,OCE'ENCRE,7 place Bourse,44000,NANTES,Recharge de cartouche d'imprimante,"Ouvert le Lundi de 14h à  19h, du Mardi au Vendredi de 10h à  13h et de 14h à  19h et le samedi de 10h à  13h et de 14h à  18h",02 51 88 98 65,09 59 07 98 65,oce.encreboutique@free.fr,<a href='http://www.oceencre.com' target='_blank' >www.oceencre.com</a>,DeuxiemeVie 03/14,smco_reempcartouchetoner, cartouches encre/tuners,"0101-3112_lu_14h00-19h00,0101-3112_ma+me+je+ve_10h00-13h00+14h00-19h00,0101-3112_sa_10h00-13h00+14h00-18h00"
stco_reemploi32,-1.558127,47.209536,Récup.,Informatique,Ecophone 44,2 rue Deurbroucq,44000,NANTES,Ouverture d'une boutique Ecophone 44 au 2 rue Deurbroucq à Nantes. 2 entreprises : Ecophone 44 et SAFETY PC 44 et nous récupérons les téléphones et les ordinateurs hors d'usage.,du lundi au samedi de 10h à 18h30,02 52 10 37 71,,ecophone44@sfr.fr,<a href='http://www.ecophone44.com' target='_blank' >www.ecophone44.com</a>,DeuxiemeVie 03/14,"smco_reempinfo,smco_reempdivers"," informatique, divers",0101-3112_lu+ma+me+je+ve+sa_10h00-18h30
stco_reemploi33,-1.652637,47.233582,Récup.,Electromenager,ENVIE 44,18 rue Bobby Sands,44800,SAINT-HERBLAIN,Récupération et vente d'électroménager,Du lundi au samedi de 10h à 13h et de 14h à 19h,02 40 43 82 37,02 40 43 82 96,envie44@wanadoo.fr,<a href='http://www.envie.org' target='_blank' >www.envie.org</a>,DeuxiemeVie 03/14,smco_reempelectromenag, électroménager,"0101-3112_lu+ma+me+je+ve+sa_10h00-13h00,0101-3112_lu+ma+me+je+ve+sa_14h00-19h00"
stco_reemploi34,-1.766052,47.312759,Récup.,Cartouche,PRAXIS ENVIRONNEMENT,ZA les 4 Nations 2 rue Henri Farman,44360,VIGNEUX DE BRETAGNE,Collecte et recyclage de cartouches d'imprimantes laser et jet d'encre.,Du lundi au vendredi de 9h00 à  18h00.,02 40 57 44 54,02 40 57 44 55,info@praxis-environnement.com,<a href='http://www.praxis-environnement.com' target='_blank' >www.praxis-environnement.com</a>,DeuxiemeVie 03/14,smco_reempcartouchetoner, cartouches encre/tuners,0101-3112_lu+ma+me+je+ve_09h00-18h00
stco_reemploi35,-1.548943,47.217117,Récup.,Livres_Revue_CD_BD,"NANTES ÉCOLOGIE, L'AIR LIVRE",3 bis rue Prémion,44015,NANTES,"Récupération de livres, revues, BD",Lundi à Vendredi 9h-13h et 14h30-18h30,02 40 47 18 27 (public) / 02 51 82 05 41 (bureau),,nantes.ecologie@free.fr,<a href='http://nantesecologie.free.fr' target='_blank' >http://nantesecologie.free.fr</a>,DeuxiemeVie 03/14,smco_reemplivreCD, livred/BD/CD/DVD/,"0101-3112_lu+ma+me+je+ve_09h00-13h00,0101-3112_lu+ma+me+je+ve_14h30-18h30"
stco_reemploi36,-1.608134,47.247658,Récup.,Cartouche,ENCRE STATION,113 route de Vannes,44800,SAINT-HERBLAIN,Recharge de cartouche d'imprimante et remanufacturation de toner,"Ouvert le Lundi de 14h à  19h, du Mardi au Vendredi de 9h30 à  12h30 et de 14h à  19h et le samedi de 10h à  12h30 et de 14h à  17h",02 40 74 42 16,,nantes@encrestation.com,<a href='http://www.encrestation.com' target='_blank' >www.encrestation.com</a>,DeuxiemeVie 03/14,smco_reempcartouchetoner, cartouches encre/tuners,"0101-3112_lu_14h00-19h00,0101-3112_ma+me+je+ve_09h30-12h30+14h00-19h00,0101-3112_sa_10h00-12h30+14h00-17h00"
stco_reemploi37,-1.642425,47.223204,Récup.,Informatique,ACTIF OUEST,8 rue du Charron,44800,SAINT-HERBLAIN,"Rénovation de micro-ordinateurs réformés et leur revente avec garantie. Démantèlement assuré par un Atelier d'insertion, pour le matériel «obsolète», en panne et les déchets informatiques et électroniques.",Du lundi au vendredi de 9h00 à  12h30 et de 14h00 à  18h00.,02 51 80 05 38,02 51 80 09 36,tris-actif-ouest@orange.fr,<a href='http://www.actifouest.fr' target='_blank' >www.actifouest.fr</a>,DeuxiemeVie 03/14,smco_reempinfo, informatique,"0101-3112_lu+ma+me+je+ve_09h00-12h30+14h00-18h00,"
stco_reemploi38,-2.2116533,47.2717698,Récup.,Vetement,La Pomme et la lionne,19 avenue Léon Blum,44600,SAINT-NAZAIRE,"En partant de vêtements neufs ou anciens, et en choisissant différents tissus , galons, boutons, perles, ...je transforme, je revisite, pour proposer des pièces originales et uniques; jupes, vestes, sacs, chaussures, chapeaux, étoles, pantalons, etc... revus et corrigés...!","Ouvert le mardi, jeudi et vendredi, de 10 h à 12 h et de 14 h à 19 h; le samedi, de 15 h à 18 h.",06 33 63 35 52,,lapommelalionne@gmail.com,<a href='http://fr-fr.facebook.com/pages/LA-POMME-ET-LA-LIONNE/234774523203287' target='_blank' >Facebook</a>,DeuxiemeVie 03/14,smco_reempvet, vêtements,"0101-3112_ma+je+ve_10h00-12h00,0101-3112_ma+je+ve_14h00-19h00,0101-3112_sa_15h00-18h00"
stco_reemploi39,-2.185721,47.304255,Décheterie,Dechets,MÉAN PENHOËT SAINT-NAZAIRE,Rue de la petite pâture,44600,SAINT-NAZAIRE,"Déchets acceptés: Végétaux, Gravats, tout venant, cartons, ferrailles, huile minérale, huile végétale (en bidon), batterie, emballages légers, verres, journaux revues magazines, lampes/tubes. Déchets dangereux des ménages acceptés : Piles, déchets toxiques. ", Été (Du 1er avril au 30 septembre) : Lundi au Vendredi de 10h à 12h15 et de 14h30 à 19h. Samedi de 9h à 12h15 et de 14h30 à 19h. Hiver (du 1er octobre au 31 mars) : Lundi au Samedi de 9h à 12h15 et de 14h30 à 18h. Fermeture les jours fériés.,02 40 90 45 19,,,<a href='http://www.agglo-carene.fr/26572369/0/fiche___pagelibre/&RH=DECHETS' target='_blank' >www.agglo-carene.fr</a>,DeuxiemeVie 03/14,modco_decheterie,,"0104-3008_lu+ma+me+je+ve_10h00-12h15+14h30-19h00,0104-3008_sa_09h00-12h15+14h30-19h00,0101-3103+0109-3112_lu+ma+me+je+ve+sa_09h00-12h15+14h30-18h00,sauf_ferie"
stco_reemploi40,-1.815695,47.109553,Récup.,Electromenager,ATELIER DU RETZ EMPLOI (SAINTE-PAZANNE),28 rue de Bel Air,44640,SAINTE-PAZANNE,"Collecte, revente à petit prix de ce qui est récupérable, tri en vue de recyclage : vaisselle, jouets, livres, disques, électroménager en état de fonctionnement, outils, vêtements, chaussures, bibelots, meubles...","le MERCREDI de 9 h à 17 h 30, le SAMEDI de 9 h à 17 h 30",06 71 65 87 20,,atelierduretzemploi@orange.fr,<a href='http://latelierduretzemploi.free.fr' target='_blank' >http://latelierduretzemploi.free.fr/</a>,DeuxiemeVie 03/14,"smco_reempelectromenag,smco_reempmeuble,smco_reemplivreCD,smco_reempjouet,smco_reempvet,smco_reempdivers"," électroménager, meuble, livred/BD/CD/DVD/, jouet, vêtements, divers","0101-3112_me_09h00-17h30,0101-3112_sa_09h00-17h30"
stco_reemploi41,-1.5468354,47.2119882,Récup.,Vetement,DING-FRING Fourré,32 rue Fourré,44200,NANTES,Boutique du Relais,Du lundi au vendredi de 10h à 19h00 et le samedi de 10h à 18h30,02 40 75 46 91,,,<a href='http://www.lerelais.org/-Nos-boutiques-Ding-Fring-.html' target='_blank' >www.lerelais.org/-Nos-boutiques-Ding-Fring-.html</a>,DeuxiemeVie 03/14,smco_reempvet, vêtements,0101-3112_lu+ma+me+je+ve_10h00-19h00
